artifact_id,artifact_path,artifact_type,source_notebook_or_script,exp_id,has_oof,has_test_pred,has_submission,has_runtime,provenance_status,notes
a0011,birdclef-2026/notebooks/_public_sunderekkiz_exp019_eos4_rank_power_06/birdclef-2026-exp019-eos4-rank-power-06.ipynb,notebook,birdclef-2026/notebooks/_public_sunderekkiz_exp019_eos4_rank_power_06/birdclef-2026-exp019-eos4-rank-power-06.ipynb,_public_sunderekkiz_exp019_eos4_rank_power_06,False,False,False,False,linked_to_exp,
a0012,birdclef-2026/notebooks/_public_sunderekkiz_exp019_eos4_rank_power_06/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/_public_sunderekkiz_exp019_eos4_rank_power_06/birdclef-2026-exp019-eos4-rank-power-06.ipynb,_public_sunderekkiz_exp019_eos4_rank_power_06,False,False,False,False,linked_to_exp,
a0013,birdclef-2026/notebooks/_public_vyanktesh_protossm_sed_0948/birdclef-2026-protossm-sed-0-948.ipynb,notebook,birdclef-2026/notebooks/_public_vyanktesh_protossm_sed_0948/birdclef-2026-protossm-sed-0-948.ipynb,_public_vyanktesh_protossm_sed_0948,False,False,False,False,linked_to_exp,
a0014,birdclef-2026/notebooks/_public_vyanktesh_protossm_sed_0948/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/_public_vyanktesh_protossm_sed_0948/birdclef-2026-protossm-sed-0-948.ipynb,_public_vyanktesh_protossm_sed_0948,False,False,False,False,linked_to_exp,
a0015,birdclef-2026/notebooks/baseline.ipynb,notebook,,baseline.ipynb,False,False,False,False,linked_to_exp,
a0016,birdclef-2026/notebooks/fork-starter/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/fork-starter/perch-v2-starter-train-infer.ipynb,fork-starter,False,False,False,False,linked_to_exp,
a0017,birdclef-2026/notebooks/fork-starter/perch-v2-starter-train-infer.ipynb,notebook,birdclef-2026/notebooks/fork-starter/perch-v2-starter-train-infer.ipynb,fork-starter,False,False,False,False,linked_to_exp,
a0018,birdclef-2026/notebooks/my-baseline/baseline.ipynb,notebook,birdclef-2026/notebooks/my-baseline/baseline.ipynb,my-baseline,False,False,False,False,linked_to_exp,
a0019,birdclef-2026/notebooks/my-baseline/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/my-baseline/baseline.ipynb,my-baseline,False,False,False,False,linked_to_exp,
a0020,birdclef-2026/notebooks/onnx-perch-seq/birdclef-2026-onnx-perch-sequence-modeling.ipynb,notebook,birdclef-2026/notebooks/onnx-perch-seq/birdclef-2026-onnx-perch-sequence-modeling.ipynb,onnx-perch-seq,False,False,False,False,linked_to_exp,
a0021,birdclef-2026/notebooks/onnx-perch-seq/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/onnx-perch-seq/birdclef-2026-onnx-perch-sequence-modeling.ipynb,onnx-perch-seq,False,False,False,False,linked_to_exp,
a0022,birdclef-2026/notebooks/public-references/adarsh-v54-lb-0948-swap/birdclef-2026-v54-lb-0948-swap.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0023,birdclef-2026/notebooks/public-references/adarsh-v54-lb-0948-swap/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0024,birdclef-2026/notebooks/public-references/adarsh5harma-birdclef-2026-v53-svanik-fusion/birdclef-2026-v53-svanik-fusion.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0025,birdclef-2026/notebooks/public-references/adarsh5harma-birdclef-2026-v53-svanik-fusion/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0026,birdclef-2026/notebooks/public-references/adarsh5harma-birdclef-2026-v54-tta/birdclef-2026-v54-tta.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0027,birdclef-2026/notebooks/public-references/adarsh5harma-birdclef-2026-v54-tta/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0028,birdclef-2026/notebooks/public-references/chaneyma-bc26-gate-v53-eos4-shared-perch-no-birdnet-scan/bc26-gate-v53-eos4-shared-perch-no-birdnet-scan.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0029,birdclef-2026/notebooks/public-references/chaneyma-bc26-gate-v53-eos4-shared-perch-no-birdnet-scan/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0030,birdclef-2026/notebooks/public-references/chaneyma-bc26-gate-v54-v38-eos4-light-post/bc26-gate-v54-v38-eos4-light-post.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0031,birdclef-2026/notebooks/public-references/chaneyma-bc26-gate-v54-v38-eos4-light-post/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0032,birdclef-2026/notebooks/public-references/cliff376-bc26-public-gate-combo-pc010-v2/bc26-public-gate-combo-pc010-v2.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0033,birdclef-2026/notebooks/public-references/cliff376-bc26-public-gate-combo-pc010-v2/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0034,birdclef-2026/notebooks/public-references/franksunp-birdclef-2026-5-branch-v4-tta-fix/birdclef-2026-5-branch-v4-tta-fix.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0035,birdclef-2026/notebooks/public-references/franksunp-birdclef-2026-5-branch-v4-tta-fix/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0036,birdclef-2026/notebooks/public-references/junseong-safar1-tweak-f-only/birdclef-2026-safar1-fork-tweak-f-only.py,script,,public-references,False,False,False,False,linked_to_exp,
a0037,birdclef-2026/notebooks/public-references/junseong-safar1-tweak-f-only/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0038,birdclef-2026/notebooks/public-references/karnak-power-optimization/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0039,birdclef-2026/notebooks/public-references/karnak-power-optimization/power-optimization.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0040,birdclef-2026/notebooks/public-references/kruzzcc-bc26-safar-0947-birdnet/bc26-safar-0947-birdnet.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0041,birdclef-2026/notebooks/public-references/kruzzcc-bc26-safar-0947-birdnet/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0042,birdclef-2026/notebooks/public-references/lucataco-bc26-scoredesc-conservative-ensemble/bc26-scoredesc-conservative-ensemble.py,script,,public-references,False,False,False,False,linked_to_exp,
a0043,birdclef-2026/notebooks/public-references/lucataco-bc26-scoredesc-conservative-ensemble/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0044,birdclef-2026/notebooks/public-references/meenalsinha-birdclef-2026-improved/birdclef-2026-improved.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0045,birdclef-2026/notebooks/public-references/meenalsinha-birdclef-2026-improved/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0046,birdclef-2026/notebooks/public-references/mtoshi-test-0948/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0047,birdclef-2026/notebooks/public-references/mtoshi-test-0948/test-0-948.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0048,birdclef-2026/notebooks/public-references/mtoshi-visual-cpu-inference/birdclef-2026-visual-cpu-inference.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0049,birdclef-2026/notebooks/public-references/mtoshi-visual-cpu-inference/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0050,birdclef-2026/notebooks/public-references/mtoshidesu-lb-improved/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0051,birdclef-2026/notebooks/public-references/mtoshidesu-lb-improved/lb-improved.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0052,birdclef-2026/notebooks/public-references/nina2025-birdclef-2026-eos-1/birdclef-2026-eos-1.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0053,birdclef-2026/notebooks/public-references/nina2025-birdclef-2026-eos-1/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0054,birdclef-2026/notebooks/public-references/nina2025-birdclef-2026-eos-4/birdclef-2026-eos-4.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0055,birdclef-2026/notebooks/public-references/nina2025-birdclef-2026-eos-4/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0056,birdclef-2026/notebooks/public-references/nina2025-eos5/birdclef-2026-eos-5.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0057,birdclef-2026/notebooks/public-references/nina2025-eos5/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0058,birdclef-2026/notebooks/public-references/pilkwang-948-time-window-rank-fusion/948-birdclef-26-acoustic-time-window-rank-fusion.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0059,birdclef-2026/notebooks/public-references/pilkwang-948-time-window-rank-fusion/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0060,birdclef-2026/notebooks/public-references/raunakdey07-birdclef-2026-deep-protossm-sed-dynamic-blend/birdclef-2026-deep-protossm-sed-dynamic-blend.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0061,birdclef-2026/notebooks/public-references/raunakdey07-birdclef-2026-deep-protossm-sed-dynamic-blend/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0062,birdclef-2026/notebooks/public-references/vyankteshdwivedi-protossm-sed-0948/birdclef-2026-protossm-sed-0-948.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0063,birdclef-2026/notebooks/public-references/vyankteshdwivedi-protossm-sed-0948/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0064,birdclef-2026/notebooks/public-references/yaroslav-birdnet-site-hour/birdnet-third-branch-site-hour-prior-restore.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0065,birdclef-2026/notebooks/public-references/yaroslav-birdnet-site-hour/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0066,birdclef-2026/notebooks/public-references/youssef-lb-0948/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0067,birdclef-2026/notebooks/public-references/youssef-lb-0948/lb-0-948.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0068,birdclef-2026/notebooks/public-references/zeyad-eos-parity-inference/birdclef-2026-eos-parity-inference.ipynb,notebook,,public-references,False,False,False,False,linked_to_exp,
a0069,birdclef-2026/notebooks/public-references/zeyad-eos-parity-inference/kernel-metadata.json,kernel_metadata,,public-references,False,False,False,False,linked_to_exp,
a0070,birdclef-2026/notebooks/starter-perch-v2/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/starter-perch-v2/perch-v2-starter-train-infer.ipynb,starter-perch-v2,False,False,False,False,linked_to_exp,
a0071,birdclef-2026/notebooks/starter-perch-v2/notebooks/onnx-perch-seq/birdclef-2026-onnx-perch-sequence-modeling.ipynb,notebook,birdclef-2026/notebooks/starter-perch-v2/perch-v2-starter-train-infer.ipynb,starter-perch-v2,False,False,False,False,linked_to_exp,
a0072,birdclef-2026/notebooks/starter-perch-v2/notebooks/onnx-perch-seq/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/starter-perch-v2/perch-v2-starter-train-infer.ipynb,starter-perch-v2,False,False,False,False,linked_to_exp,
a0073,birdclef-2026/notebooks/starter-perch-v2/perch-v2-starter-train-infer.ipynb,notebook,birdclef-2026/notebooks/starter-perch-v2/perch-v2-starter-train-infer.ipynb,starter-perch-v2,False,False,False,False,linked_to_exp,
a0074,birdclef-2026/notebooks/top1-pantanal-distill/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/top1-pantanal-distill/pantanal-distill-birdclef2026-onnx.ipynb,top1-pantanal-distill,False,False,False,False,linked_to_exp,
a0075,birdclef-2026/notebooks/top1-pantanal-distill/pantanal-distill-birdclef2026-onnx.ipynb,notebook,birdclef-2026/notebooks/top1-pantanal-distill/pantanal-distill-birdclef2026-onnx.ipynb,top1-pantanal-distill,False,False,False,False,linked_to_exp,
a0076,birdclef-2026/notebooks/v10-original-sedrank/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v10-original-sedrank/submission.ipynb,v10-original-sedrank,False,False,False,False,linked_to_exp,
a0077,birdclef-2026/notebooks/v10-original-sedrank/submission.ipynb,notebook,birdclef-2026/notebooks/v10-original-sedrank/submission.ipynb,v10-original-sedrank,False,False,False,False,linked_to_exp,
a0078,birdclef-2026/notebooks/v101-attributed-alexy-cnn-cpu/birdclef-2026-cnn-infer-dataset.py,script,birdclef-2026/notebooks/v101-attributed-alexy-cnn-cpu/birdclef-2026-cnn-infer-dataset.py,v101-attributed-alexy-cnn-cpu,False,False,False,False,linked_to_exp,
a0079,birdclef-2026/notebooks/v101-attributed-alexy-cnn-cpu/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v101-attributed-alexy-cnn-cpu/birdclef-2026-cnn-infer-dataset.py,v101-attributed-alexy-cnn-cpu,False,False,False,False,linked_to_exp,
a0080,birdclef-2026/notebooks/v102-original-macro-risk-rescue/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v102-original-macro-risk-rescue/submission.ipynb,v102-original-macro-risk-rescue,False,False,False,False,linked_to_exp,
a0081,birdclef-2026/notebooks/v102-original-macro-risk-rescue/submission.ipynb,notebook,birdclef-2026/notebooks/v102-original-macro-risk-rescue/submission.ipynb,v102-original-macro-risk-rescue,False,False,False,False,linked_to_exp,
a0082,birdclef-2026/notebooks/v103-guarded-macro-risk-rescue/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v103-guarded-macro-risk-rescue/submission.ipynb,v103-guarded-macro-risk-rescue,False,False,False,False,linked_to_exp,
a0083,birdclef-2026/notebooks/v103-guarded-macro-risk-rescue/submission.ipynb,notebook,birdclef-2026/notebooks/v103-guarded-macro-risk-rescue/submission.ipynb,v103-guarded-macro-risk-rescue,False,False,False,False,linked_to_exp,
a0084,birdclef-2026/notebooks/v104-perch-only-guarded-rescue/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v104-perch-only-guarded-rescue/submission.ipynb,v104-perch-only-guarded-rescue,False,False,False,False,linked_to_exp,
a0085,birdclef-2026/notebooks/v104-perch-only-guarded-rescue/submission.ipynb,notebook,birdclef-2026/notebooks/v104-perch-only-guarded-rescue/submission.ipynb,v104-perch-only-guarded-rescue,False,False,False,False,linked_to_exp,
a0086,birdclef-2026/notebooks/v105-rankrestored-perch-guarded/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v105-rankrestored-perch-guarded/submission.ipynb,v105-rankrestored-perch-guarded,False,False,False,False,linked_to_exp,
a0087,birdclef-2026/notebooks/v105-rankrestored-perch-guarded/submission.ipynb,notebook,birdclef-2026/notebooks/v105-rankrestored-perch-guarded/submission.ipynb,v105-rankrestored-perch-guarded,False,False,False,False,linked_to_exp,
a0088,birdclef-2026/notebooks/v106-rankdominant-perch-guarded/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v106-rankdominant-perch-guarded/submission.ipynb,v106-rankdominant-perch-guarded,False,False,False,False,linked_to_exp,
a0089,birdclef-2026/notebooks/v106-rankdominant-perch-guarded/submission.ipynb,notebook,birdclef-2026/notebooks/v106-rankdominant-perch-guarded/submission.ipynb,v106-rankdominant-perch-guarded,False,False,False,False,linked_to_exp,
a0090,birdclef-2026/notebooks/v107-rankceiling-perch-guarded/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v107-rankceiling-perch-guarded/submission.ipynb,v107-rankceiling-perch-guarded,False,False,False,False,linked_to_exp,
a0091,birdclef-2026/notebooks/v107-rankceiling-perch-guarded/submission.ipynb,notebook,birdclef-2026/notebooks/v107-rankceiling-perch-guarded/submission.ipynb,v107-rankceiling-perch-guarded,False,False,False,False,linked_to_exp,
a0092,birdclef-2026/notebooks/v108-ecoproto-perch-guarded/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v108-ecoproto-perch-guarded/submission.ipynb,v108-ecoproto-perch-guarded,False,False,False,False,linked_to_exp,
a0093,birdclef-2026/notebooks/v108-ecoproto-perch-guarded/submission.ipynb,notebook,birdclef-2026/notebooks/v108-ecoproto-perch-guarded/submission.ipynb,v108-ecoproto-perch-guarded,False,False,False,False,linked_to_exp,
a0094,birdclef-2026/notebooks/v109-ecoproto-ranklaunch-perch/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v109-ecoproto-ranklaunch-perch/submission.ipynb,v109-ecoproto-ranklaunch-perch,False,False,False,False,linked_to_exp,
a0095,birdclef-2026/notebooks/v109-ecoproto-ranklaunch-perch/submission.ipynb,notebook,birdclef-2026/notebooks/v109-ecoproto-ranklaunch-perch/submission.ipynb,v109-ecoproto-ranklaunch-perch,False,False,False,False,linked_to_exp,
a0096,birdclef-2026/notebooks/v11-original-adaptive/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v11-original-adaptive/submission.ipynb,v11-original-adaptive,False,False,False,False,linked_to_exp,
a0097,birdclef-2026/notebooks/v11-original-adaptive/submission.ipynb,notebook,birdclef-2026/notebooks/v11-original-adaptive/submission.ipynb,v11-original-adaptive,False,False,False,False,linked_to_exp,
a0098,birdclef-2026/notebooks/v110-ecoproto-clean-blend/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v110-ecoproto-clean-blend/submission.ipynb,v110-ecoproto-clean-blend,False,False,False,False,linked_to_exp,
a0099,birdclef-2026/notebooks/v110-ecoproto-clean-blend/submission.ipynb,notebook,birdclef-2026/notebooks/v110-ecoproto-clean-blend/submission.ipynb,v110-ecoproto-clean-blend,False,False,False,False,linked_to_exp,
a0100,birdclef-2026/notebooks/v111-clean-sed-ecoproto-blend/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v111-clean-sed-ecoproto-blend/submission.ipynb,v111-clean-sed-ecoproto-blend,False,False,False,False,linked_to_exp,
a0101,birdclef-2026/notebooks/v111-clean-sed-ecoproto-blend/submission.ipynb,notebook,birdclef-2026/notebooks/v111-clean-sed-ecoproto-blend/submission.ipynb,v111-clean-sed-ecoproto-blend,False,False,False,False,linked_to_exp,
a0102,birdclef-2026/notebooks/v112-clean-sed-remap-ecoproto/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v112-clean-sed-remap-ecoproto/submission.ipynb,v112-clean-sed-remap-ecoproto,False,False,False,False,linked_to_exp,
a0103,birdclef-2026/notebooks/v112-clean-sed-remap-ecoproto/submission.ipynb,notebook,birdclef-2026/notebooks/v112-clean-sed-remap-ecoproto/submission.ipynb,v112-clean-sed-remap-ecoproto,False,False,False,False,linked_to_exp,
a0104,birdclef-2026/notebooks/v113-lantingguo-melnorm-ecoproto/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v113-lantingguo-melnorm-ecoproto/submission.ipynb,v113-lantingguo-melnorm-ecoproto,False,False,False,False,linked_to_exp,
a0105,birdclef-2026/notebooks/v113-lantingguo-melnorm-ecoproto/submission.ipynb,notebook,birdclef-2026/notebooks/v113-lantingguo-melnorm-ecoproto/submission.ipynb,v113-lantingguo-melnorm-ecoproto,False,False,False,False,linked_to_exp,
a0106,birdclef-2026/notebooks/v114-v110-v113-selfblend/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v114-v110-v113-selfblend/submission.ipynb,v114-v110-v113-selfblend,False,False,False,False,linked_to_exp,
a0107,birdclef-2026/notebooks/v114-v110-v113-selfblend/submission.ipynb,notebook,birdclef-2026/notebooks/v114-v110-v113-selfblend/submission.ipynb,v114-v110-v113-selfblend,False,False,False,False,linked_to_exp,
a0108,birdclef-2026/notebooks/v115-tsubasa-snowflake-sed/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v115-tsubasa-snowflake-sed/submission.ipynb,v115-tsubasa-snowflake-sed,False,False,False,False,linked_to_exp,
a0109,birdclef-2026/notebooks/v115-tsubasa-snowflake-sed/submission.ipynb,notebook,birdclef-2026/notebooks/v115-tsubasa-snowflake-sed/submission.ipynb,v115-tsubasa-snowflake-sed,False,False,False,False,linked_to_exp,
a0110,birdclef-2026/notebooks/v116-tsubasa-convnext-sed/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v116-tsubasa-convnext-sed/submission.ipynb,v116-tsubasa-convnext-sed,False,False,False,False,linked_to_exp,
a0111,birdclef-2026/notebooks/v116-tsubasa-convnext-sed/submission.ipynb,notebook,birdclef-2026/notebooks/v116-tsubasa-convnext-sed/submission.ipynb,v116-tsubasa-convnext-sed,False,False,False,False,linked_to_exp,
a0112,birdclef-2026/notebooks/v117-tsubasa-convnext-noremap/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v117-tsubasa-convnext-noremap/submission.ipynb,v117-tsubasa-convnext-noremap,False,False,False,False,linked_to_exp,
a0113,birdclef-2026/notebooks/v117-tsubasa-convnext-noremap/submission.ipynb,notebook,birdclef-2026/notebooks/v117-tsubasa-convnext-noremap/submission.ipynb,v117-tsubasa-convnext-noremap,False,False,False,False,linked_to_exp,
a0114,birdclef-2026/notebooks/v12-oof-blend/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v12-oof-blend/submission.ipynb,v12-oof-blend,False,False,False,False,linked_to_exp,
a0115,birdclef-2026/notebooks/v12-oof-blend/submission.ipynb,notebook,birdclef-2026/notebooks/v12-oof-blend/submission.ipynb,v12-oof-blend,False,False,False,False,linked_to_exp,
a0116,birdclef-2026/notebooks/v13-consensus-rank/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v13-consensus-rank/submission.ipynb,v13-consensus-rank,False,False,False,False,linked_to_exp,
a0117,birdclef-2026/notebooks/v13-consensus-rank/submission.ipynb,notebook,birdclef-2026/notebooks/v13-consensus-rank/submission.ipynb,v13-consensus-rank,False,False,False,False,linked_to_exp,
a0118,birdclef-2026/notebooks/v14-attributed-safe-ensemble/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v14-attributed-safe-ensemble/submission.ipynb,v14-attributed-safe-ensemble,False,False,False,False,linked_to_exp,
a0119,birdclef-2026/notebooks/v14-attributed-safe-ensemble/submission.ipynb,notebook,birdclef-2026/notebooks/v14-attributed-safe-ensemble/submission.ipynb,v14-attributed-safe-ensemble,False,False,False,False,linked_to_exp,
a0120,birdclef-2026/notebooks/v15-sitehour-prior/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v15-sitehour-prior/submission.ipynb,v15-sitehour-prior,False,False,False,False,linked_to_exp,
a0121,birdclef-2026/notebooks/v15-sitehour-prior/submission.ipynb,notebook,birdclef-2026/notebooks/v15-sitehour-prior/submission.ipynb,v15-sitehour-prior,False,False,False,False,linked_to_exp,
a0122,birdclef-2026/notebooks/v16-perch-anchor/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v16-perch-anchor/submission.ipynb,v16-perch-anchor,False,False,False,False,linked_to_exp,
a0123,birdclef-2026/notebooks/v16-perch-anchor/submission.ipynb,notebook,birdclef-2026/notebooks/v16-perch-anchor/submission.ipynb,v16-perch-anchor,False,False,False,False,linked_to_exp,
a0124,birdclef-2026/notebooks/v17-strong-perch-anchor/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v17-strong-perch-anchor/submission.ipynb,v17-strong-perch-anchor,False,False,False,False,linked_to_exp,
a0125,birdclef-2026/notebooks/v17-strong-perch-anchor/submission.ipynb,notebook,birdclef-2026/notebooks/v17-strong-perch-anchor/submission.ipynb,v17-strong-perch-anchor,False,False,False,False,linked_to_exp,
a0126,birdclef-2026/notebooks/v18-fast-onnx/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v18-fast-onnx/submission.ipynb,v18-fast-onnx,False,False,False,False,linked_to_exp,
a0127,birdclef-2026/notebooks/v18-fast-onnx/submission.ipynb,notebook,birdclef-2026/notebooks/v18-fast-onnx/submission.ipynb,v18-fast-onnx,False,False,False,False,linked_to_exp,
a0128,birdclef-2026/notebooks/v19-fast-onnx-3fold/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v19-fast-onnx-3fold/submission.ipynb,v19-fast-onnx-3fold,False,False,False,False,linked_to_exp,
a0129,birdclef-2026/notebooks/v19-fast-onnx-3fold/submission.ipynb,notebook,birdclef-2026/notebooks/v19-fast-onnx-3fold/submission.ipynb,v19-fast-onnx-3fold,False,False,False,False,linked_to_exp,
a0130,birdclef-2026/notebooks/v2-improved/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v2-improved/v2_improved.ipynb,v2-improved,False,False,False,False,linked_to_exp,
a0131,birdclef-2026/notebooks/v2-improved/v2_improved.ipynb,notebook,birdclef-2026/notebooks/v2-improved/v2_improved.ipynb,v2-improved,False,False,False,False,linked_to_exp,
a0132,birdclef-2026/notebooks/v20-fast-onnx-4fold/kernel-metadata.json,kernel_metadata,birdclef-2026/notebooks/v20-fast-onnx-4fold/submission.ipynb,v20-fast-onnx-4fold,False,False,False,False,linked_to_exp,
