exp_id,notebook_path,artifact_paths,has_oof,has_test_pred,has_submission,has_runtime_log,has_config,model_family_guess,public_lb_if_visible_from_filename_or_log,status_candidate_teacher_reject_unknown,reason,next_required_action
top1-pantanal-distill,birdclef-2026/notebooks/top1-pantanal-distill/pantanal-distill-birdclef2026-onnx.ipynb,,False,False,False,False,True,perch+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v10-original-sedrank,birdclef-2026/notebooks/v10-original-sedrank/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+rank+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v101-attributed-alexy-cnn-cpu,,birdclef-2026/outputs/v101-attributed-alexy-cnn-cpu-v1/bc26-v101-attributed-alexy-cnn-cpu.log;birdclef-2026/outputs/v101-attributed-alexy-cnn-cpu-v1/diagnostics_v101_staging_no_test.json;birdclef-2026/outputs/v101-attributed-alexy-cnn-cpu-v1/submission.csv,False,True,True,True,True,unknown,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v102-original-macro-risk-rescue,birdclef-2026/notebooks/v102-original-macro-risk-rescue/submission.ipynb,birdclef-2026/outputs/v102-original-macro-risk-rescue-v1/bc26-v102-original-macro-risk-rescue.log;birdclef-2026/outputs/v102-original-macro-risk-rescue-v1/submission.csv,False,True,True,True,True,perch+sed+onnx+distill,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v103-guarded-macro-risk-rescue,birdclef-2026/notebooks/v103-guarded-macro-risk-rescue/submission.ipynb,birdclef-2026/outputs/v103-guarded-macro-risk-rescue-v1/bc26-v103-guarded-macro-rescue.log;birdclef-2026/outputs/v103-guarded-macro-risk-rescue-v1/submission.csv,False,True,True,True,True,perch+sed+onnx+distill,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v104-perch-only-guarded-rescue,birdclef-2026/notebooks/v104-perch-only-guarded-rescue/submission.ipynb,birdclef-2026/outputs/v104-perch-only-guarded-rescue-v1/bc26-v104-perch-only-guarded.log;birdclef-2026/outputs/v104-perch-only-guarded-rescue-v1/submission.csv,False,True,True,True,True,perch+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v105-rankrestored-perch-guarded,birdclef-2026/notebooks/v105-rankrestored-perch-guarded/submission.ipynb,birdclef-2026/outputs/v105-rankrestored-perch-guarded-v1/bc26-v105-rankrestored-perch.log;birdclef-2026/outputs/v105-rankrestored-perch-guarded-v1/submission.csv,False,True,True,True,True,perch+onnx+rank,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v106-rankdominant-perch-guarded,birdclef-2026/notebooks/v106-rankdominant-perch-guarded/submission.ipynb,birdclef-2026/outputs/v106-rankdominant-perch-guarded-v1/bc26-v106-rankdominant-perch.log;birdclef-2026/outputs/v106-rankdominant-perch-guarded-v1/submission.csv,False,True,True,True,True,perch+onnx+rank,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v107-rankceiling-perch-guarded,birdclef-2026/notebooks/v107-rankceiling-perch-guarded/submission.ipynb,birdclef-2026/outputs/v107-rankceiling-perch-guarded-v1/bc26-v107-rankceiling-perch.log;birdclef-2026/outputs/v107-rankceiling-perch-guarded-v1/submission.csv,False,True,True,True,True,perch+onnx+rank,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v108-ecoproto-perch-guarded,birdclef-2026/notebooks/v108-ecoproto-perch-guarded/submission.ipynb,birdclef-2026/outputs/v108-ecoproto-perch-guarded-v1/bc26-v108-ecoproto-perch.log;birdclef-2026/outputs/v108-ecoproto-perch-guarded-v1/submission.csv,False,True,True,True,True,perch+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v109-ecoproto-ranklaunch-perch,birdclef-2026/notebooks/v109-ecoproto-ranklaunch-perch/submission.ipynb,birdclef-2026/outputs/v109-ecoproto-ranklaunch-perch-v1/bc26-v109-ecoproto-ranklaunch.log;birdclef-2026/outputs/v109-ecoproto-ranklaunch-perch-v1/submission.csv,False,True,True,True,True,perch+onnx+rank,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v11-original-adaptive,birdclef-2026/notebooks/v11-original-adaptive/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v110-ecoproto-clean-blend,birdclef-2026/notebooks/v110-ecoproto-clean-blend/submission.ipynb,birdclef-2026/outputs/v110-ecoproto-clean-blend-v1/bc26-v110-ecoproto-cleanblend.log;birdclef-2026/outputs/v110-ecoproto-clean-blend-v1/submission.csv,False,True,True,True,True,perch+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v111-clean-sed-ecoproto-blend,birdclef-2026/notebooks/v111-clean-sed-ecoproto-blend/submission.ipynb,birdclef-2026/outputs/v111-clean-sed-ecoproto-blend-v1/bc26-v111-clean-sed-ecoproto.log;birdclef-2026/outputs/v111-clean-sed-ecoproto-blend-v1/submission.csv,False,True,True,True,True,perch+sed+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v112-clean-sed-remap-ecoproto,birdclef-2026/notebooks/v112-clean-sed-remap-ecoproto/submission.ipynb,birdclef-2026/outputs/v112-clean-sed-remap-ecoproto-v1/bc26-v112-clean-sed-remap.log;birdclef-2026/outputs/v112-clean-sed-remap-ecoproto-v1/submission.csv;birdclef-2026/outputs/v112-clean-sed-remap-ecoproto-v1/v112_clean_sed_remap_diagnostics.csv,False,True,True,True,True,perch+sed+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v113-lantingguo-melnorm-ecoproto,birdclef-2026/notebooks/v113-lantingguo-melnorm-ecoproto/submission.ipynb,birdclef-2026/outputs/v113-lantingguo-melnorm-ecoproto-v1/bc26-v113-lanting-melnorm.log;birdclef-2026/outputs/v113-lantingguo-melnorm-ecoproto-v1/submission.csv;birdclef-2026/outputs/v113-lantingguo-melnorm-ecoproto-v1/v113_lantingguo_melnorm_diagnostics.csv,False,True,True,True,True,perch+sed+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v114-v110-v113-selfblend,birdclef-2026/notebooks/v114-v110-v113-selfblend/submission.ipynb,birdclef-2026/outputs/v114-v110-v113-selfblend-v1/bc26-v114-clean-selfblend.log;birdclef-2026/outputs/v114-v110-v113-selfblend-v1/submission.csv;birdclef-2026/outputs/v114-v110-v113-selfblend-v1/v113_lantingguo_melnorm_diagnostics.csv;birdclef-2026/outputs/v114-v110-v113-selfblend-v1/v114_branch_auc_diagnostics.csv;birdclef-2026/outputs/v114-v110-v113-selfblend-v1/v114_branch_summary.csv,False,True,True,True,True,perch+sed+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v115-tsubasa-snowflake-sed,birdclef-2026/notebooks/v115-tsubasa-snowflake-sed/submission.ipynb,birdclef-2026/outputs/v115-tsubasa-snowflake-sed-v1/bc26-v115-tsubasa-snowflake-sed.log,False,False,False,True,True,perch+sed+onnx,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v116-tsubasa-convnext-sed,birdclef-2026/notebooks/v116-tsubasa-convnext-sed/submission.ipynb,birdclef-2026/outputs/v116-tsubasa-convnext-sed-v1/bc26-v116-tsubasa-convnext-sed.log;birdclef-2026/outputs/v116-tsubasa-convnext-sed-v1/submission.csv;birdclef-2026/outputs/v116-tsubasa-convnext-sed-v1/v116_tsubasa_convnext_sed_remap_diagnostics.csv,False,True,True,True,True,perch+sed+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v117-tsubasa-convnext-noremap,birdclef-2026/notebooks/v117-tsubasa-convnext-noremap/submission.ipynb,birdclef-2026/outputs/v117-tsubasa-convnext-noremap-v1/bc26-v117-tsubasa-convnext-noremap.log;birdclef-2026/outputs/v117-tsubasa-convnext-noremap-v1/submission.csv;birdclef-2026/outputs/v117-tsubasa-convnext-noremap-v1/v117_tsubasa_convnext_noremap_diagnostics.csv,False,True,True,True,True,perch+sed+onnx,,teacher_or_unknown,has test/submission artifacts but OOF not visible,schema_validate_and_check_provenance
v12-oof-blend,birdclef-2026/notebooks/v12-oof-blend/submission.ipynb,,True,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v13-consensus-rank,birdclef-2026/notebooks/v13-consensus-rank/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+rank+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v14-attributed-safe-ensemble,birdclef-2026/notebooks/v14-attributed-safe-ensemble/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v15-sitehour-prior,birdclef-2026/notebooks/v15-sitehour-prior/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v16-perch-anchor,birdclef-2026/notebooks/v16-perch-anchor/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v17-strong-perch-anchor,birdclef-2026/notebooks/v17-strong-perch-anchor/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v18-fast-onnx,birdclef-2026/notebooks/v18-fast-onnx/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v19-fast-onnx-3fold,birdclef-2026/notebooks/v19-fast-onnx-3fold/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v2-improved,birdclef-2026/notebooks/v2-improved/v2_improved.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v20-fast-onnx-4fold,birdclef-2026/notebooks/v20-fast-onnx-4fold/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v21-fast-onnx-5fold,birdclef-2026/notebooks/v21-fast-onnx-5fold/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v22-fast-onnx-filemax,birdclef-2026/notebooks/v22-fast-onnx-filemax/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v23-fast-onnx-filemax04,birdclef-2026/notebooks/v23-fast-onnx-filemax04/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v24-attributed-public-gate-combo,birdclef-2026/notebooks/v24-attributed-public-gate-combo/bc26-public-gate-combo-pc010-v2.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v25-attributed-eos1-benchmark,birdclef-2026/notebooks/v25-attributed-eos1-benchmark/birdclef-2026-eos-1.ipynb,,False,False,False,False,True,perch+sed+onnx+eos+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v26-attributed-raunak-dynamic-blend,birdclef-2026/notebooks/v26-attributed-raunak-dynamic-blend/birdclef-2026-deep-protossm-sed-dynamic-blend.ipynb,,False,False,False,False,True,perch+sed+onnx+protossm+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v27-attributed-lucataco-conservative-ensemble,,,False,False,False,False,True,sed+protossm+eos,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v28-attributed-meenal-improved,birdclef-2026/notebooks/v28-attributed-meenal-improved/birdclef-2026-improved.ipynb,,False,False,False,False,True,perch+sed+onnx+birdnet+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v29-attributed-meenal-no-bn,birdclef-2026/notebooks/v29-attributed-meenal-no-bn/birdclef-2026-improved.ipynb,,False,False,False,False,True,perch+sed+onnx+birdnet+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v3-original,birdclef-2026/notebooks/v3-original/submission.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v30-attributed-adarsh-svanik-fusion,birdclef-2026/notebooks/v30-attributed-adarsh-svanik-fusion/birdclef-2026-v53-svanik-fusion.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v31-attributed-meenal-sed60,birdclef-2026/notebooks/v31-attributed-meenal-sed60/birdclef-2026-improved.ipynb,,False,False,False,False,True,perch+sed+onnx+birdnet+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v32-attributed-chaneyma-gate-v53,birdclef-2026/notebooks/v32-attributed-chaneyma-gate-v53/bc26-gate-v53-eos4-shared-perch-no-birdnet-scan.ipynb,,False,False,False,False,True,perch+sed+onnx+birdnet+eos+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v33-attributed-adarsh-v54-tta,birdclef-2026/notebooks/v33-attributed-adarsh-v54-tta/birdclef-2026-v54-tta.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v34-attributed-adarsh-v54-sed60,birdclef-2026/notebooks/v34-attributed-adarsh-v54-sed60/birdclef-2026-v54-tta.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v35-attributed-adarsh-v54-sed80,birdclef-2026/notebooks/v35-attributed-adarsh-v54-sed80/birdclef-2026-v54-tta.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v36-attributed-pilkwang-948-fusion,birdclef-2026/notebooks/v36-attributed-pilkwang-948-fusion/948-birdclef-26-acoustic-time-window-rank-fusion.ipynb,,False,False,False,False,True,perch+sed+onnx+rank+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v37-attributed-vyanktesh-948,birdclef-2026/notebooks/v37-attributed-vyanktesh-948/birdclef-2026-protossm-sed-0-948.ipynb,,False,False,False,False,True,perch+sed+onnx+protossm+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v38-attributed-youssef-948,birdclef-2026/notebooks/v38-attributed-youssef-948/lb-0-948.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v39-attributed-zeyad-eos-parity,birdclef-2026/notebooks/v39-attributed-zeyad-eos-parity/birdclef-2026-eos-parity-inference.ipynb,,False,False,False,False,True,perch+sed+onnx+birdnet+eos+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v4-optimized,birdclef-2026/notebooks/v4-optimized/submission.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v40-attributed-mtoshi-948,birdclef-2026/notebooks/v40-attributed-mtoshi-948/test-0-948.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v41-attributed-mtoshi-sed80,birdclef-2026/notebooks/v41-attributed-mtoshi-sed80/test-0-948.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v42-attributed-nina-eos4,birdclef-2026/notebooks/v42-attributed-nina-eos4/birdclef-2026-eos-4.ipynb,,False,False,False,False,True,perch+sed+onnx+eos+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v43-attributed-nina-eos4-alignfix,birdclef-2026/notebooks/v43-attributed-nina-eos4-alignfix/birdclef-2026-eos-4.ipynb,,False,False,False,False,True,perch+sed+onnx+eos+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v44-attributed-mtoshi-visual-cpu,birdclef-2026/notebooks/v44-attributed-mtoshi-visual-cpu/birdclef-2026-visual-cpu-inference.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v45-attributed-mtoshi-lb-improved,birdclef-2026/notebooks/v45-attributed-mtoshi-lb-improved/lb-improved.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v46-attributed-kruzzcc-safar-birdnet,birdclef-2026/notebooks/v46-attributed-kruzzcc-safar-birdnet/bc26-safar-0947-birdnet.ipynb,,False,False,False,False,True,perch+sed+onnx+birdnet+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v47-attributed-kruzzcc-sed80-no-bn,birdclef-2026/notebooks/v47-attributed-kruzzcc-sed80-no-bn/bc26-safar-0947-birdnet.ipynb,,False,False,False,False,True,perch+sed+onnx+birdnet+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v48-attributed-karnak-power-opt,birdclef-2026/notebooks/v48-attributed-karnak-power-opt/power-optimization.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v49-attributed-franksunp-5branch,birdclef-2026/notebooks/v49-attributed-franksunp-5branch/birdclef-2026-5-branch-v4-tta-fix.ipynb,,False,False,False,False,True,perch+sed+onnx+rank+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v5-calibrated,birdclef-2026/notebooks/v5-calibrated/submission.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v50-attributed-raunak-v7,birdclef-2026/notebooks/v50-attributed-raunak-v7/birdclef-26-v7-notebook.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v51-attributed-anthony-ensemble,birdclef-2026/notebooks/v51-attributed-anthony-ensemble/birdclef-ensemble-of-solutions.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v52-attributed-anthony-alignfix,birdclef-2026/notebooks/v52-attributed-anthony-alignfix/birdclef-ensemble-of-solutions.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v53-attributed-anthony-alignfix2,birdclef-2026/notebooks/v53-attributed-anthony-alignfix2/birdclef-ensemble-of-solutions.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v54-attributed-safar-948,birdclef-2026/notebooks/v54-attributed-safar-948/lb-score-0-948.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v55-attributed-chaneyma-gate-v54,birdclef-2026/notebooks/v55-attributed-chaneyma-gate-v54/bc26-gate-v54-v38-eos4-light-post.ipynb,,False,False,False,False,True,perch+sed+onnx+eos+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v56-attributed-yaroslav-sitehour,birdclef-2026/notebooks/v56-attributed-yaroslav-sitehour/birdnet-third-branch-site-hour-prior-restore.ipynb,,False,False,False,False,True,perch+sed+onnx+birdnet+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v57-attributed-adarsh-swap,birdclef-2026/notebooks/v57-attributed-adarsh-swap/birdclef-2026-v54-lb-0948-swap.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v58-attributed-claude-a2prime,birdclef-2026/notebooks/v58-attributed-claude-a2prime/birdclef-2026-r0946-a2prime-effv2s-submit.ipynb,,False,False,False,False,True,perch+sed+onnx+birdnet+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v59-attributed-karnak-dual-syntaxfix,birdclef-2026/notebooks/v59-attributed-karnak-dual-syntaxfix/optimized-dual-architecture-ensemble.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v6-fast,birdclef-2026/notebooks/v6-fast/submission.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v60-attributed-adarsh-sed-tta,birdclef-2026/notebooks/v60-attributed-adarsh-sed-tta/birdclef-2026-v60-sed-tta.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v61-attributed-eslam-v20d,birdclef-2026/notebooks/v61-attributed-eslam-v20d/birdclef2026-v20d.ipynb,,False,False,False,False,True,perch+sed+onnx+protossm+birdnet+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v62-attributed-svanik-protossm-fusion,birdclef-2026/notebooks/v62-attributed-svanik-protossm-fusion/protossm-fusion-engine.ipynb,,False,False,False,False,True,perch+sed+onnx+protossm+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v63-attributed-chaneyma-v37-ninastyle,birdclef-2026/notebooks/v63-attributed-chaneyma-v37-ninastyle/bc26-gate-v37-ninastyle-branch.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v64-attributed-amul-full-yous-gate-rb035,birdclef-2026/notebooks/v64-attributed-amul-full-yous-gate-rb035/bc26-full-yous-gate-rb035-nb-20260517.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v65-attributed-sunderekkiz-exp019-eos4-rankp06,birdclef-2026/notebooks/v65-attributed-sunderekkiz-exp019-eos4-rankp06/birdclef-2026-exp019-eos4-rank-power-06.ipynb,,False,False,False,False,True,perch+sed+onnx+eos+rank+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v66-attributed-kotata-a1-rankblend-sedup,birdclef-2026/notebooks/v66-attributed-kotata-a1-rankblend-sedup/birdclef-2026-youssef-a1-rankblend-sedup.ipynb,,False,False,False,False,True,perch+sed+onnx+rank+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v67-original-sedfirst-rank-consensus,birdclef-2026/notebooks/v67-original-sedfirst-rank-consensus/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+rank+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v68-original-balanced-rank-consensus,birdclef-2026/notebooks/v68-original-balanced-rank-consensus/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+rank+distill,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v69-original-embedprobe-rank,birdclef-2026/notebooks/v69-original-embedprobe-rank/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+rank+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v7-debug,birdclef-2026/notebooks/v7-debug/submission.ipynb,,False,False,False,False,True,perch,,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v70-original-embedprobe-alignfix,birdclef-2026/notebooks/v70-original-embedprobe-alignfix/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v71-original-probe-anchorblend,birdclef-2026/notebooks/v71-original-probe-anchorblend/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v72-original-macrotilt-anchorblend,birdclef-2026/notebooks/v72-original-macrotilt-anchorblend/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v73-original-dualprobe-anchorblend,birdclef-2026/notebooks/v73-original-dualprobe-anchorblend/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v74-original-macrosafe-dualprobe,birdclef-2026/notebooks/v74-original-macrosafe-dualprobe/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v75-original-proxybalanced-dualprobe,birdclef-2026/notebooks/v75-original-proxybalanced-dualprobe/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
v76-original-macroboost-dualprobe,birdclef-2026/notebooks/v76-original-macroboost-dualprobe/submission.ipynb,,False,False,False,False,True,perch+sed+onnx+dualprobe+distill,see_reports,unknown,no matching output artifact found in low-cost scan,metadata_only_until_needed
