source_name,source_type,source_url_or_kaggle_dataset,license,public_accessibility,cost,date_added,used_for_training_or_inference,used_by_experiment_id,provenance_status,compliance_notes
google/bird-vocalization-classifier,kaggle_model,kaggle_model:google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1,Apache 2.0,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v91-attributed-youssef-e1-rare-tail-nobirdnet,PASS-provenance,model instance metadata inspected via Kaggle API
shadiakiki1/birdnet-analyzer,kaggle_model,kaggle_model:shadiakiki1/birdnet-analyzer/TfLite/birdnet_global_6k_v2.4_model_fp32-1/3,CC BY-NC 4.0,public_or_accessible,free_or_kaggle_access,2026-05-19,not_used_by_v91,v90-attributed-youssef-e1-rare-tail-birdnet,REJECT-for-prize-route,BirdNET was used by v90 Run-mode but v90 was not submitted; v91 removes this model source for license compatibility
beicicc/bc26-mtoshi-vis-may18,kaggle_kernel_source,kaggle_kernel_source:beicicc/bc26-mtoshi-vis-may18,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v92-attributed-mtoshi-vis-nobirdnet,PASS-provenance,Source metadata recorded under experiments/provenance/v92; local derivative is Run-mode-only and not submitted.
tuckerarrants/bc2026-distilled-sed-public,kaggle_dataset,kaggle_dataset:tuckerarrants/bc2026-distilled-sed-public,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v92-attributed-mtoshi-vis-nobirdnet,HOLD-license-audit,Public Kaggle dataset used by source reference; v92 is Run-mode-only and not submitted.
jaejohn/perch-meta,kaggle_dataset,kaggle_dataset:jaejohn/perch-meta,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v92-attributed-mtoshi-vis-nobirdnet,HOLD-license-audit,Public Kaggle dataset used by source reference; v92 is Run-mode-only and not submitted.
tuckerarrants/perch-v2-no-dft-onnx,kaggle_dataset,kaggle_dataset:tuckerarrants/perch-v2-no-dft-onnx,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v92-attributed-mtoshi-vis-nobirdnet,HOLD-license-audit,Public Kaggle dataset used by source reference; v92 is Run-mode-only and not submitted.
rishikeshjani/perch-onnx-for-birdclef-2026,kaggle_dataset,kaggle_dataset:rishikeshjani/perch-onnx-for-birdclef-2026,CC0-1.0,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v92-attributed-mtoshi-vis-nobirdnet,PASS-provenance,Public Kaggle dataset used by source reference; v92 is Run-mode-only and not submitted.
ashok205/tf-wheels,kaggle_kernel_source,kaggle_kernel_source:ashok205/tf-wheels,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v92-attributed-mtoshi-vis-nobirdnet,HOLD-license-audit,Kernel source used by source reference; v92 is Run-mode-only and not submitted.
google/bird-vocalization-classifier,kaggle_model,kaggle_model:google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1,Apache 2.0,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v92-attributed-mtoshi-vis-nobirdnet,PASS-provenance,Public Kaggle model used by source reference; v92 is Run-mode-only and not submitted.
mtoshidesu/birdclef-flow-diagram,kaggle_dataset,kaggle_dataset:mtoshidesu/birdclef-flow-diagram,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,not_used_by_v92,v92-attributed-mtoshi-vis-nobirdnet,REMOVED-non-inference,Removed from metadata because it only supported a display image and caused v92 Run-mode v1 failure.
adkasd/birdclef-2026-sub-v4-5-strong,kaggle_kernel_source,kaggle_kernel_source:adkasd/birdclef-2026-sub-v4-5-strong,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v93-attributed-adkasd-strong-nobirdnet,REJECT-runmode-error,Source metadata recorded under experiments/provenance/v93; local derivative errored and was not submitted.
tuckerarrants/birdclef-2026-waveform-cache,kaggle_dataset,kaggle_dataset:tuckerarrants/birdclef-2026-waveform-cache,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v93-attributed-adkasd-strong-nobirdnet,HOLD-license-audit,Public Kaggle dataset used by source reference; v93 errored and was not submitted.
hideyukizushi/sgkfk-202604041716,kaggle_dataset,kaggle_dataset:hideyukizushi/sgkfk-202604041716,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v93-attributed-adkasd-strong-nobirdnet,HOLD-license-audit,Public Kaggle dataset used by source reference; v93 errored and was not submitted.
hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177,kaggle_kernel_source,kaggle_kernel_source:hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v93-attributed-adkasd-strong-nobirdnet,HOLD-license-audit,Kernel source used by source reference; v93 errored and was not submitted.
adkasd/birdclef-2026-priors-research,kaggle_dataset,kaggle_dataset:adkasd/birdclef-2026-priors-research,UNKNOWN,not_accessible_403,unknown,2026-05-19,required_but_unavailable,v93-attributed-adkasd-strong-nobirdnet,REJECT-unavailable,Required by later prior cell; Kaggle API returned 403 Forbidden in current session.
itshyao/birdclef2026-g116-hgnet-b1-rawpseudo-assets,kaggle_dataset,kaggle_dataset:itshyao/birdclef2026-g116-hgnet-b1-rawpseudo-assets,UNKNOWN,not_accessible_403,unknown,2026-05-19,required_but_unavailable,watchlist-may19-turn5,REJECT-unavailable,Required by Itshyao HGNet rawpseudo candidate; Kaggle API returned 403 Forbidden and dataset search returned 0 hits.
jacqueszhelinzhang/birdclef26-perch-model,kaggle_dataset,kaggle_dataset:jacqueszhelinzhang/birdclef26-perch-model,UNKNOWN,not_accessible_403,unknown,2026-05-19,required_but_unavailable,watchlist-may19-turn5,REJECT-unavailable,Required by Jacques Perch candidate; Kaggle API returned 403 Forbidden and dataset search returned 0 hits.
karnakbaevarthur/birdclef-advance-ensemble,kaggle_kernel_source,kaggle_kernel_source:karnakbaevarthur/birdclef-advance-ensemble,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v94-attributed-karnak-advance-ensemble,REJECT-runmode-error,Source metadata recorded under experiments/v94_external_provenance_report.md; v94 errored at dry-run row alignment and was not submitted.
tuckerarrants/bc2026-distilled-sed-public,kaggle_dataset,kaggle_dataset:tuckerarrants/bc2026-distilled-sed-public,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v94-attributed-karnak-advance-ensemble,HOLD-license-audit,Public Kaggle dataset used by source reference; v94 errored and was not submitted.
tuckerarrants/birdclef-2026-waveform-cache,kaggle_dataset,kaggle_dataset:tuckerarrants/birdclef-2026-waveform-cache,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v94-attributed-karnak-advance-ensemble,HOLD-license-audit,Public Kaggle dataset used by source reference; v94 errored and was not submitted.
jaejohn/perch-meta,kaggle_dataset,kaggle_dataset:jaejohn/perch-meta,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v94-attributed-karnak-advance-ensemble,HOLD-license-audit,Public Kaggle dataset used by source reference; v94 errored and was not submitted.
tuckerarrants/perch-v2-no-dft-onnx,kaggle_dataset,kaggle_dataset:tuckerarrants/perch-v2-no-dft-onnx,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v94-attributed-karnak-advance-ensemble,HOLD-license-audit,Public Kaggle dataset used by source reference; v94 errored and was not submitted.
rishikeshjani/perch-onnx-for-birdclef-2026,kaggle_dataset,kaggle_dataset:rishikeshjani/perch-onnx-for-birdclef-2026,CC0-1.0,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v94-attributed-karnak-advance-ensemble,PASS-provenance,Public Kaggle dataset used by source reference; v94 errored and was not submitted.
hideyukizushi/sgkfk-202604041716,kaggle_dataset,kaggle_dataset:hideyukizushi/sgkfk-202604041716,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v94-attributed-karnak-advance-ensemble,HOLD-license-audit,Public Kaggle dataset used by source reference; v94 errored and was not submitted.
ashok205/tf-wheels,kaggle_kernel_source,kaggle_kernel_source:ashok205/tf-wheels,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v94-attributed-karnak-advance-ensemble,HOLD-license-audit,Kernel source used by source reference; v94 errored and was not submitted.
hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177,kaggle_kernel_source,kaggle_kernel_source:hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v94-attributed-karnak-advance-ensemble,HOLD-license-audit,Kernel source used by source reference; v94 errored and was not submitted.
google/bird-vocalization-classifier,kaggle_model,kaggle_model:google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1,Apache 2.0,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v94-attributed-karnak-advance-ensemble,PASS-provenance,Public Kaggle model used by source reference; v94 errored and was not submitted.
itshyao/birdclef-2026-s117-s114-g116-delta-launcher,kaggle_kernel_source,kaggle_kernel_source:itshyao/birdclef-2026-s117-s114-g116-delta-launcher,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,watchlist-may19-turn6,REJECT-unreproducible,Public launcher completed but pulled source only searches for hidden s117_source.ipynb; do not submit directly without reproducible source and provenance.
itshyao/s117_source.ipynb,kaggle_input_notebook,unknown_input:s117_source.ipynb,UNKNOWN,not_accessible,unknown,2026-05-19,required_but_unavailable,watchlist-may19-turn6,REJECT-unavailable,S117 launcher requires this input notebook under /kaggle/input but it was not included in pulled source and dataset search returned no Itshyao source hits.
henryszy/bc2026-raunak0946-clap-v53,kaggle_kernel_source,kaggle_kernel_source:henryszy/bc2026-raunak0946-clap-v53,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v96-clap-sidecar,HOLD-source-only,Public run completes via quick dry-run guard and emits uniform sample-shaped CSV; not submitted.
lucataco/bc26-henry-clap-v53-fasttop,kaggle_kernel_source,kaggle_kernel_source:lucataco/bc26-henry-clap-v53-fasttop,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v96-clap-sidecar,HOLD-source-only,Public run completes full staging path but CLAP sidecar is skipped in dry-run; output remains near v87 and was not submitted.
konbu17/bird26-train-audio-head-v1,kaggle_dataset,kaggle_dataset:konbu17/bird26-train-audio-head-v1,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference_sidecar,v96-clap-sidecar,HOLD-license-audit,Accessible train-audio-head artifact used by Henry/Lucataco CLAP sidecar family; no real submission made.
habedi/birdclef-2026-clap-int8-bundle,kaggle_dataset,kaggle_dataset:habedi/birdclef-2026-clap-int8-bundle,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference_sidecar,v96-clap-sidecar,HOLD-license-audit,Accessible CLAP INT8 bundle used by Henry/Lucataco CLAP sidecar family; no real submission made.
chaneyma/birdclef-2026-cv9245-moe-artifacts,kaggle_dataset,kaggle_dataset:chaneyma/birdclef-2026-cv9245-moe-artifacts,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,sidecar_reference,watchlist-may19-turn7,HOLD-license-audit,Accessible CV9245/MoE artifacts observed in sidecar candidates; not promoted to submission.
tsubasatech/birdclef-2026-snowflake-sed,kaggle_dataset,kaggle_dataset:tsubasatech/birdclef-2026-snowflake-sed,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,sidecar_reference,watchlist-may19-turn7,HOLD-license-audit,Accessible Snowflake SED artifacts observed in sidecar candidates; not promoted to submission.
itshyao/birdclef-2026-s116-g116-hgnet-b1-rawpseudo-all5,kaggle_kernel_source,kaggle_kernel_source:itshyao/birdclef-2026-s116-g116-hgnet-b1-rawpseudo-all5,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,watchlist-may19-turn8,REJECT-unreproducible,Public run completes with G116 HGNet rawpseudo assets but required asset dataset is still 403 to this account; no direct submit.
lucataco/bc26-claude-a2prime-nfnet-fix,kaggle_kernel_source,kaggle_kernel_source:lucataco/bc26-claude-a2prime-nfnet-fix,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v97-a2nfnet,HOLD-source-only,NFNet branch is active and diverse but final output stays near v87 and metadata includes BirdNET CC BY-NC model source; not submitted.
brendancarlin/birdclef2026-models,kaggle_dataset,kaggle_dataset:brendancarlin/birdclef2026-models,CC0-1.0,public_or_accessible,free_or_kaggle_access,2026-05-19,inference_sidecar,v97-a2nfnet,PASS-provenance,Accessible NFNet checkpoint dataset used by Lucataco A2Prime NFNet source; no local candidate promoted yet.
adkasd/birdclef-2026-sub-v4-2-optimal,kaggle_kernel_source,kaggle_kernel_source:adkasd/birdclef-2026-sub-v4-2-optimal,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,watchlist-may19-turn8,REJECT-unavailable-priors,Public run completes but depends on adkasd prior assets that are not accessible in current account; no direct submit.
adkasd/birdclef-2026-sub-v4-4-combined,kaggle_kernel_source,kaggle_kernel_source:adkasd/birdclef-2026-sub-v4-4-combined,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,watchlist-may19-turn8,REJECT-unavailable-priors,Public run completes but depends on adkasd prior assets that are not accessible in current account; no direct submit.
cocoaai/bc26-karnak-advance-ensemble-patched,kaggle_kernel_source,kaggle_kernel_source:cocoaai/bc26-karnak-advance-ensemble-patched,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,watchlist-may19-turn8,REJECT-birdnet-risk,Near-neighbor Karnak/Proto/SED output and metadata attaches BirdNET CC BY-NC model source; not submitted.
jguevarag/08-winning-tta-submission-pipeline,kaggle_kernel_source,kaggle_kernel_source:jguevarag/08-winning-tta-submission-pipeline,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v98-jguevarag,REJECT-fallback-output,Public output is a 3-row all-zero fallback after checkpoint state-dict mismatch; not submitted.
jguevarag/05-kaggle-inference-submission,kaggle_kernel_source,kaggle_kernel_source:jguevarag/05-kaggle-inference-submission,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v98-jguevarag,REJECT-fallback-output,Public output is the same all-zero sample-shaped fallback as jguevarag 08; not submitted.
jguevarag/07-optimal-sed-training,kaggle_kernel_source,kaggle_kernel_source:jguevarag/07-optimal-sed-training,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,training_source,v98-jguevarag,HOLD-training-only,Training notebook was still running during audit and has no final inference output or OOF evidence for promotion.
jguevarag/06-master-optimal-sed-training,kaggle_kernel_source,kaggle_kernel_source:jguevarag/06-master-optimal-sed-training,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,training_source,v98-jguevarag,HOLD-training-only,Training source only; not a direct final inference candidate in this audit.
yuki16/bird-clef2026-perch-prot-vectormlp-fattail-sed-v3,kaggle_kernel_source,kaggle_kernel_source:yuki16/bird-clef2026-perch-prot-vectormlp-fattail-sed-v3,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v98-jguevarag,HOLD-near-neighbor,Output is byte-identical to beicicc Kosuke ConvNeXt and belongs to already-known Perch/SED public family; not submitted.
beicicc/birdclef2026-kosuke-convnext-may12,kaggle_kernel_source,kaggle_kernel_source:beicicc/birdclef2026-kosuke-convnext-may12,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v98-jguevarag,HOLD-near-neighbor,Output is byte-identical to yuki16 v3 and uses known Perch/SED dependency family; not submitted.
ulyanovantonamaranta/birdclef-2026-gate-f008-mirrorrare-rt010,kaggle_kernel_source,kaggle_kernel_source:ulyanovantonamaranta/birdclef-2026-gate-f008-mirrorrare-rt010,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v98-jguevarag,HOLD-near-neighbor,Final sample output is close to v87 and SED side output matches known public sidecar; not submitted.
yaroslavkholmirzayev/v6-0949-replay,kaggle_kernel_source,kaggle_kernel_source:yaroslavkholmirzayev/v6-0949-replay,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v99-v6-s118,REJECT-near-neighbor,Final output is a v87 near-neighbor replay with sample corr 0.996729 and MAD 0.000242; not submitted.
mtoshidesu/testbirdclef-2026-v6,kaggle_kernel_source,kaggle_kernel_source:mtoshidesu/testbirdclef-2026-v6,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v99-v6-s118,REJECT-duplicate,Final output is byte-identical to local v87/v93; not submitted.
raunakdey07/birdclef-2026-v6,kaggle_kernel_source,kaggle_kernel_source:raunakdey07/birdclef-2026-v6,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v99-v6-s118,REJECT-duplicate,Final output is byte-identical to local v87/v93 and mtoshidesu V6; not submitted.
itshyao/birdclef-2026-s118-gated-g116-delta-launcher,kaggle_kernel_source,kaggle_kernel_source:itshyao/birdclef-2026-s118-gated-g116-delta-launcher,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v99-v6-s118,REJECT-unreproducible,Launcher depends on inaccessible s118_source dataset and G116 assets; final output is near v87 and G116 sidecar is only 12 rows; not submitted.
itshyao/birdclef-2026-s120-gated-birdnet-safe-launcher,kaggle_kernel_source,kaggle_kernel_source:itshyao/birdclef-2026-s120-gated-birdnet-safe-launcher,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,source_reference,v99-v6-s118,REJECT-unreproducible-birdnet,Launcher depends on inaccessible s120_source dataset and metadata attaches BirdNET model source; not submitted.
itshyao/birdclef-2026-s118-gated-g116-source,kaggle_dataset,kaggle_dataset:itshyao/birdclef-2026-s118-gated-g116-source,UNKNOWN,not_accessible,unknown,2026-05-19,required_source_notebook,v99-v6-s118,REJECT-403,Dataset files API returns 403 to current account; required for S118 launcher reproducibility.
itshyao/birdclef-2026-s120-gated-birdnet-safe-source,kaggle_dataset,kaggle_dataset:itshyao/birdclef-2026-s120-gated-birdnet-safe-source,UNKNOWN,not_accessible,unknown,2026-05-19,required_source_notebook,v99-v6-s118,REJECT-403,Dataset files API returns 403 to current account; required for S120 launcher reproducibility.
itshyao/birdclef2026-g116-hgnet-b1-rawpseudo-assets,kaggle_dataset,kaggle_dataset:itshyao/birdclef2026-g116-hgnet-b1-rawpseudo-assets,UNKNOWN,not_accessible,unknown,2026-05-19,required_sidecar_assets,v99-v6-s118,REJECT-403,Dataset files API returns 403 to current account; required for S118 G116 sidecar.
