key,path,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_v87,mad_v87,corr_v91,corr_v110,corr_v127,public_score_or_status,ledger_decision,family,queue_action_note,reference_note
v104-perch-only-guarded-rescue-v1,birdclef-2026/outputs/v104-perch-only-guarded-rescue-v1/submission.csv,0.97751210,0.78763929,0.00000000,0.08219178,22,,,,0.97822677,0.97682177,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v105-rankrestored-perch-guarded-v1,birdclef-2026/outputs/v105-rankrestored-perch-guarded-v1/submission.csv,0.97751210,0.81765567,0.00000000,0.08219178,22,,,,0.98227822,0.98045385,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v107-rankceiling-perch-guarded-v1,birdclef-2026/outputs/v107-rankceiling-perch-guarded-v1/submission.csv,0.97736356,0.91282668,0.27397260,0.50684932,22,,,,0.99372017,0.98925037,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v122-singlepass-class-selective-tsubasa-v1,birdclef-2026/outputs/v122-singlepass-class-selective-tsubasa-v1/submission.csv,0.97709863,0.92241158,0.27397260,0.58904110,22,,,,0.99910728,0.99594921,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v124-postfinal-rankcal-tsubasa-v1,birdclef-2026/outputs/v124-postfinal-rankcal-tsubasa-v1/submission.csv,0.97115717,0.90281675,0.21917808,0.52054795,22,,,,0.99854927,0.99560620,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v112-clean-sed-remap-ecoproto-v1,birdclef-2026/outputs/v112-clean-sed-remap-ecoproto-v1/submission.csv,0.87568304,0.83667571,0.23287671,0.53424658,22,,,,0.77974739,0.78398664,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v119-roniheka-hgnet-sed-v1,birdclef-2026/outputs/v119-roniheka-hgnet-sed-v1/submission.csv,0.86521034,0.87197101,0.12328767,0.34246575,22,,,,0.71676023,0.72244121,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v116-tsubasa-convnext-sed-v1,birdclef-2026/outputs/v116-tsubasa-convnext-sed-v1/submission.csv,0.85930903,0.83251880,0.19178082,0.39726027,22,,,,0.76471052,0.76624374,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v111-clean-sed-ecoproto-blend-v1,birdclef-2026/outputs/v111-clean-sed-ecoproto-blend-v1/submission.csv,0.75704093,0.77120047,0.12328767,0.27397260,22,,,,0.76312781,0.76887460,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v117-tsubasa-convnext-noremap-v1,birdclef-2026/outputs/v117-tsubasa-convnext-noremap-v1/submission.csv,0.71214482,0.72131755,0.08219178,0.32876712,22,,,,0.77285976,0.77613815,,,original,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
v87-attributed-nina-eos5-v38plus,birdclef-2026/outputs/v87-attributed-nina-eos5-v38plus/submission.csv,,,0.00000000,0.00000000,0,,,,,,0.949,Maintains anchor and improves visible best by 0.001 but remains below top20 cutoff 0.953; do not submit near-duplicate S106/EoS5,attributed_or_mixed,research-only queue item; require compliance/runtime/proxy review before any guarded submission,"v87/v91 archived outputs are sample-only locally, so train-window diversity is measured against v110/v127"
